,ITEM_CODE,MO_NAME,SPECS,USE_NAME
765,19767,抗核抗体定量(ANA),,
766,Y00000018952,内舒拿鼻喷雾剂**,0.05%  60揿,喷鼻
769,17326,双侧下肢A彩超全程(包双股总浅深腘胫前后、足背A）),,
777,F00002217899,一次性吸氧管OT-MII（大号）（北京）,,
792,17568,胸部螺旋CT平扫,,
802,Y00000000432,瑞捷针,1mg,微泵静注
804,Y00000001846,复方红豆杉胶囊&,0.3g*12,口服
808,Y00000007B35,柴胡(北)颗粒一方,相当于饮片6G,冲服
809,Y00000018548,新克君针,3.0g(2g:1g),静脉滴注
817,17276,泌尿系B超(双肾、输尿管、膀胱、前列腺）,,
818,Y00000018973,拜阿司匹灵肠溶片**#(国产),100mg*30片,口服
824,F00002207392,动态心电图,,
828,Y00000000669,泰索帝注射液**&%,20mg,静脉滴注
832,F00002211991,运动疗法(各关节活动度训练),,
838,F00002204183,人工扩肛治疗,,
849,20407,血管炎三项,,
851,F00002206430,眼压检查(非接触眼压计法或压平眼压计法),,
857,Y00000019528,盐酸二甲双胍肠溶片#,0.25g*100片,口服
859,F00002219935,一次性加药注射器20ML/康德莱,,
869,Y00000000577,拜复乐注射液 #,250ml:400mg,静脉滴注
886,Y00000004917,同奥注射液&%,10ml:0.1g,静脉滴注
888,17918,总IgE测定,,
908,Y00000000457,10%氯化钠注射液&#@,1g:10ml*5,口服
913,Y00000019060,胸腺五肽注射液(通达)&,1ml:10mg,肌肉注射
917,Y00000019891,依托泊苷注射液(齐鲁)&%,0.1g:5ml,静脉滴注
918,Y00000018379,来立信注射液#,250ml:0.5g,静脉滴注
926,Y00000000725,美平针**,0.5g,静脉注射
937,Y00000018201,注射用磷酸肌酸钠#,1.0g,静脉滴注
953,F00002203986,一氧化氮呼气测定,,
955,16181,血脂六项,,
967,Y00000008353,紫苏子,10g.15g ,自煎
968,Y00000007A16,白芍颗粒一方,相当于饮片10G,冲服
969,Y00000001978,安普索片#,30mg*20,口服
983,17086,风湿三项,,
985,20227,肝功一组,,
986,Y00000000434,灭菌注射用水@#,500ml,其他
1002,Y00000020118,信必可都保**#,(320ug:9ug)*60吸,吸入
1007,Y00000019582,丙泊酚中/长链脂肪乳注射液(竟安),20ml:0.2g,微泵静注
1010,F00002207417,心电监测,,
1017,F00002207561,纤维结肠镜检查(电子镜),,
1022,Y00000002271,化癥回生口服液 &,10ml*6支,口服
1025,F00000180095,一次性压力延长管,,
1030,F00002204350,重症监护,,
1045,F00002223431,预充式导管冲洗器5ML/威海洁瑞,,
1046,F00002204433,小换药,,
1052,20695,IgE烟曲霉（m3）,,
1061,Y00000002063,思密达散剂**,3g*10,口服
1064,F00002207322,支气管舒张试验,,
1065,Y00000001240,拜唐苹片*#,50mg*30片,口服
1067,17797,留置导尿,,
1078,Y00000018358,新泰林针@,0.5g,静脉滴注
1079,17082,胰功两项,,
1082,17963,运动平板心电图,,
1125,Y00000019577,盐酸帕洛诺司琼注射液(吉欧停),5ml:0.25mg,静脉注射
1128,17096,真菌抗原三项血清检测（检验科）,,
1135,Y00000018473,诺和锐(特充)**#,100U/ml*3ml,皮下注射
1144,Y00000001147,地塞米松片 #&,0.75mg*100,口服
1145,F00002217768,针管回缩式静脉留置针20G×29mm（威高）,,
1147,F00002204910,B超常规检查(妇科(含子宫、附件、膀胱及周围组织)),,
1149,Y00000018599,5%葡萄糖注射液&#@,50ml:2.5g,微泵静注
1152,F00002217767,针管回缩式静脉留置针18G×29mm（威高）,,
1159,F00002218589,黄头真空管,,
1167,F00000181494,去白细胞滤器,,
1170,F00002218370,胰岛素笔用针头（BD）（320632型）,,
1171,F00002213279,胸腔穿刺术后留置管抽液(注药),,
1176,F00002233358,针管回缩式聚氨酯静脉留置针/22G*25mm威高,,
1182,Y00000001955,兰悉多片#,15mg*14,口服
1195,Y00000000541,注射用灯盏花素(龙津针)#,50mg,静脉滴注
1196,Y00000000675,10%葡萄糖注射液&#@,10%*250ml,静脉滴注
1197,Y00000019940,脾氨肽口服冻干粉@,2mg*5瓶,口服
1210,F00002233357,针管回缩式聚氨酯静脉留置针/20G*29mm威高,,
1211,Y00000018900,新络纳分散片#,5mg*20,口服
1212,Y00000018882,噻吗灵针@,0.25g,静脉滴注
1217,Y00000001917,西乐葆胶囊*#,200mg*6,口服
1229,Y00000000018,氨茶碱注射液#,2ml:0.25g*10支,静脉滴注
1235,F00002220501,持续尿量监测,,
1236,F00002204401,住院静脉输血,,静滴冲管
1237,Y00000019653,注射用盐酸托烷司琼&,5mg,静脉注射
1239,Y00000000144,科赛斯针**G,50mg,静脉滴注
1246,Y00000007A21,浙贝母颗粒一方,相当于饮片10g,自煎
1251,Y00000000425,碳酸氢钠注射液&#,250ml:12.5g,其他
1252,F00002207332,呼吸机辅助呼吸,,
1259,Y00000001748,地榆升白片,0.1g*40,口服
1262,Y00000018477,盖三淳胶丸#,0.25ug*10粒,口服
1267,Y00000020117,多巴胺注射液(亚邦) #,20mg*10,微泵静注
1270,F00002218368,一次性使用吸痰管（收集器10F）/上海康鸽,,
1272,Y00000020008,硫酸镁注射液(杭州) #,10ml:2.5g*5,肌肉注射
1311,F00002207348,纤维支气管镜检查,,
1329,16887,尿液肾功四项,,
1338,F00002217890,紫红头真空管,,
1342,Y00000001272,安博维片*#,150mg*7,口服
1344,Y00000007C55,五味子颗粒一方,相当于饮片6g,冲服
1360,17796,导尿,,
1364,Y00000019592,护固莱士粘合剂,2ml,治疗
1366,Y00000019866,前列地尔注射液(力邦喜通)#,2ml:10ug,静脉注射
1369,F00002208389,血液加温治疗,,
1371,Y00000007D12,苦杏仁颗粒一方,相当于饮片10G,冲服
1388,F00002207324,床边简易肺功能测定,,
1390,Y00000007A14,玉竹颗粒一方(单味自费),相当于饮片10G,自煎
1393,Y00000001105,可乐必妥片 #,0.5g*4,口服
1399,Y00000000339,奥西康针#,42.6mg(含奥40mg),静脉滴注
1401,17084,离子四项,,
1404,Y00000000515,赛美维针,0.5g,其他
1448,Y00000002175,迪先混悬液#,120ml,口服
1461,F00002211990,运动疗法(全身肌力训练),,
1469,17297,肝胆脾胰彩超,,
1470,17965,24小时动态心电图,,
1477,Y00000019550,注射用尖吻蝮蛇血凝酶(苏灵),1单位,静脉注射
1485,18605,伏立康唑血浆药物浓度测定,,
1487,Y00000000589,艾迪注射液&,10ml ,静脉滴注
1503,Y00000004904,潘舒泰克肠溶片#,40mg*7片,口服
1507,F00002204393,动脉加压注射,,
1515,17061,肝功三项,,
1516,Y00000007F36,桑白皮颗粒一方,相当于饮片10G,自煎
1519,F00002218306,针管回缩式静脉留置针22G×25mm（威高）,,
1536,Y00000018848,舒普深针#,1.5g(1g/0.5g),静脉滴注
1544,F00002218849,胰岛素注射器（1ML/BD）,,皮下注射
1548,Y00000018881,10%氯化钾注射液(大冢)#,10ml:1g,鼻饲
1550,17075,心肌二项,,
1551,18284,心电图床旁（心电图室）,,
1554,17080,骨代谢三项,,
1558,21366,人类白细胞抗原ABDR位点核酸检测,,
1567,Y00000001346,艾诺克分散片&,40mg*24,口服
1571,Y00000018484,克赛注射液**#,0.4ml:4000AxaIU*2,皮下注射
1579,F00002204436,雾化吸入,,喷雾给药
1589,17306,甲状腺彩超,,
1595,17137,尿干化学分析,,
1609,Y00000001116,开博通片*#,12.5mg*100,口服
1622,Y00000008011,欣贝针&,1ml:5mg,静脉注射
1629,F00000181421,佰通PVC鼻胃管,,
1637,Y00000018909,注射用头孢美唑钠,1.0g,静脉滴注
1638,17943,EB病毒抗体测定,,
1643,17981,专项变应原筛查,,
1645,Y00000020265,乌苯美司胶囊&,10mg*18,口服
1650,16324,超敏C反应蛋白,,
1661,Y00000018717,复方氨基酸注射液(18AA-II)#,250ml:21.25g,静脉滴注
1666,Y00000019804,特尔立注射液&,100ug,治疗
1668,Y00000008401,苡米（薏苡仁）（单味自费),10g.15g,煎服(代煎)
1672,F00002207962,简明心理状况测验(MMSF),,
1673,17795,心电监测,,
1685,16178,双侧颈动脉+椎动脉彩超,,
1686,Y00000000543,威凡针**,200mg,静脉滴注
1692,17881,层流洁净病房,,
1698,17569,胸部螺旋CT平扫+增强(造影剂另计),,
1703,17868,尿酸,,
1718,18803,病理切片处理,,
1735,Y00000001215,高舒达片*#,20mg*30,口服
1744,Y00000004836,博路定片*#,0.5mg*7片,口服
1745,16538,交叉配血（微柱凝胶),,
1751,22226,血肺炎支原体IgM（快速法）,,
1758,16516,空腹血清C肽测定,,
1766,F00002207428,持续有创性血压监测,,
1768,Y00000007C56,栀子颗粒一方(单味自费),相当于饮片10G,冲服
1781,Y00000002182,舒利迭粉吸入剂#,50ug/250ug*60吸,吸入
1788,17807,血细胞分析（海印）,,
1796,17913,曲霉菌抗原检测（GM试验）,,
1798,Y00000000185,葡萄糖氯化钠注射液&#@,250ml,静脉滴注
1804,Y00000019575,咖啡酸片,0.1g*36片,口服
1813,Y00000000915,仙力素针,0.5g,静脉滴注
1825,F00002206400,散瞳验光,,
1829,Y00000000291,密盖息注射液**&［—］,1ml:50u*5,肌肉注射
1835,17925,胸水腺苷脱氨酶(ADA),,
1862,F00002218243,一次性静脉营养袋（3000ML）（上海曹扬）,,
1870,17721,消化道肿瘤四项,,
1871,F00002204465,引流管更换,,
1897,Y00000000582,人型-PPD注射液,50iu:1ml,其他
1898,Y00000018878,斯沃片**,0.6g*10片,口服
1904,Y00000000737,血栓通针(晨钟)@,150mg,静脉滴注
1913,Y00000001009,阿普唑仑片 #,0.4mg*100,口服
1924,17864,血糖（1小时）,,
1927,Y00000019873,10%氯化钾注射液#,10ml:1g,鼻饲
1929,Y00000000545,欣维宁注射液,100ml:5mg,静脉滴注
1933,Y00000019886,阿拓莫兰针#,1.0g,静脉滴注
1939,Y00000020217,0.9%氯化钠针(怡翔玻瓶)&#@,0.9%*500ml,其他
1944,Y00000007G24,地龙颗粒一方,相当于饮片10G,冲服
1952,Y00000000450,0.9%氯化钠注射液&#@,500ml:4.5g,静脉滴注
1955,Y00000001608,赛治片**,10mg*50,口服
1964,F00002218310,头皮静脉留置针Y型24G（威高）,,
1967,17081,骨代谢五项,,
1969,F00002220335,一次性吸引瓶内胆（吸痰用）,,
1978,Y00000008014,德纳片*#,20ug*10片,口服
1988,Y00000020024,诺和龙片**#,2mg*30,口服
1993,17077,心酶五项,,
1996,Y00000019082,能全力混悬液,1.0Kcal/ml 500ml,鼻饲
2007,Y00000001262,哈乐缓释胶囊*,0.2mg*10,口服
2014,Y00000007A81,甘草颗粒一方(单味自费),相当于饮片3G,自煎
2021,16891,血脂八项,,
2023,F00002204478,留置导尿,,
2026,F00002213139,会阴抹洗,,
2036,F00002208363,局部浸润麻醉,,
2038,Y00000018271,立普妥片#,20mg*7片,口服
2042,16040,头颅平扫MRI ,,
2044,Y00000000374,非那根注射液@#,2ml:50mg*10支,肌肉注射
2061,21906,呼出气一氧化氮测定,,
2069,16218,TCT,,
2074,F00000180086,双腔吸氧管（5米）,,
2078,F00002207309,气道阻力测定,,
2087,Y00000001652,酮替芬片#,1mg*60,口服
2101,F00002207996,日常生活能力评定量表,,
2103,Y00000020053,启尔畅气雾剂**,100μg/6μg/120揿,喷雾给药
2111,Y00000001814,西维尔片,50ug*50,口服
2123,16298,血清蛋白电泳,,
2126,F00002219936,一次性加药注射器50ML/康德莱,,漱口
2130,16892,免疫八项,,
2133,Y00000001170,黛力新片**#,0.5mg/10mg*20粒,口服
2145,Y00000018568,肠内营养粉剂(TP)(安素)**,400g,口服
2146,Y00000000981,巨和粒针,1.5mg,皮下注射
2150,Y00000000255,呋塞米注射液#,20mg:2ml*10,静脉注射
2151,F00000181340,舒贝康中心静脉导管,,
2157,F00002207416,动态血压监测,,
2162,Y00000018572,多烯磷脂酰胆碱注射液(天兴)#,5ml:232.5mg,静脉滴注
2173,Y00000001119,康忻片**#,5mg*10,口服
2179,Y00000018761,天晴甘美注射液,10ml:50mg*2支,静脉滴注
2183,Y00000000276,左克注射液 #,0.1g:2ml*4,静脉滴注
2193,F00000181033,可来福输液接头C3300,,
2208,18824,凝血六项,,
2215,Y00000000892,参芪扶正注射液&,250ml,静脉滴注
2236,17778,门诊静脉输液,,
2251,F00002207328,持续呼吸功能检测,,
2252,F00000180255,*一次性吸氧管,,
2265,21708,结核分枝杆菌快速分子鉴定及利福平耐药基因检测,,
2283,Y00000019797,(俊特)亚胺培南西司他丁钠针,1g,静脉滴注
2287,Y00000018709,英凡舒注射液&,250ml:12.5g:12.5g,静脉滴注
2295,16200,血型分析(海印),,
2300,Y00000019899,康迪欣片,0.5g(相当于362.6mg)*6,口服
2316,Y00000018696,凯宝川苧胶囊#,0.2g*10粒,口服
2320,F00002209725,胸腔闭式引流术,,
2337,Y00000000484,舒敏针&,100mg*5,肌肉注射
2344,16474,膝关节正侧位,,
2346,19571,肺肿瘤六项,,
2360,Y00000020126,18AA-VⅡ针(捷苏)#,200ml:20.650g,静脉滴注
2362,Y00000019988,喜美欣肠溶片,500mg*10片,口服
2363,17646,胸部肺动脉、静脉CT造影+三维重建（造影剂另计）,,
2372,Y00000018584,来士普片*#,10mg*7片,口服
